word,ポジティブ-ネガティブ,品が有る-品が無い,きれい-きたない,おだやか-乱暴,明るい-暗い,改まった-くだけた,かわいらしい-にくらしい,誠実-軽薄,面白い-つまらない,静かな-うるさい,安心-焦り,期待-驚き,喜び-悲しみ,怒り-怖れ,興奮-鎮静,好き-嫌い
連れパチ,-3,-27.5,-3,-1,3,-2,-5.5,-2.5,-2,-11,-1,-2.5,-1.5,-2,3,-20
ねらー,-14,-6.5,-14,17.5,-13,-10,-9.5,-16,14,13.5,-11,-7.5,-7.5,-15.5,-6,-13
おいやめろ,-11,-2,-2.5,-6.5,-5,1,-2.5,-3,-2.5,-5.5,-2.5,-4.5,-10,-5.5,-6,-1.5
チキン,-20.5,-4,-4.5,5.5,-6,-5,-9,-9,-5,13.5,-22,-8.5,-19,3,-4.5,-9
ワッフルワッフル,5,-1.5,1,3,3.5,-3,1.5,-4.5,1.5,-1.5,3,28.5,2.5,-4,29.5,1.5
ゲトる,16,-12.5,15,-13.5,17.5,-17.5,-8,-7,-18.5,18,-9,10.5,19.5,-9.5,9.5,5.5
やりちん,-19,-25.5,-15,-10,14.5,-19,-10,-20,-8.5,-13.5,-7.5,-11.5,-7.5,-9,1.5,-13.5
ギャル,-11.5,-8.5,-11.5,-7,18.5,-11.5,5,-17.5,9,-10,-9.5,-8.5,10.5,10,12.5,-13
あーねー,-0.5,-7.5,-6.5,-4,4.5,-7,3,-2.5,-3,-4.5,1.5,-2,0.5,0,4,2.5
すんごく,12,-8,8.5,12.5,8.5,-11.5,7,-9,9.5,-8,6.5,8.5,10,-4.5,12.5,-2.5
火病,-10.5,-14.5,-11,-6,-5,-3,-7,-10.5,-15,-18.5,-2.5,-6,-5,-4.5,9,-8
キワい,-1.5,-1,2.5,3.5,2.5,-11,-5,-1,-2.5,-3,-8,-6,-2,-4.5,7,-2
KY,-18.5,-14,-14.5,-22,16,-16.5,2.5,-12.5,9,-14.5,14.5,-18,11.5,-9,8,-7
アニソン,4.5,-7,12,8.5,9,-9,11.5,-18,8,-10.5,-7,9.5,6.5,-11,7.5,5.5
なべる,3.5,3.5,2.5,3,2.5,-7,1.5,1.5,2.5,-2.5,4.5,6,7.5,-2.5,3,6.5
地味婚,-11.5,-2,1,6,-24.5,-5,1.5,-2.5,-8,3,1.5,-2.5,-6,-4,-5,-2
セブン銀行,1.5,3,3,1,3,2.5,0.5,1.5,-4,1,1.5,1,0.5,-1.5,-7,2.5
カッコヨス,35.5,-10,-8.5,6.5,6.5,-15.5,-10,-7,-12.5,-15.5,-10,-8,1,-10,12,27.5
華麗にスルー,-8.5,-6,-3.5,-5,-12,-14,-13,-17.5,-11.5,35,-7,-2,-8,-10.5,-16,-15
モリモリ,4,-1.5,-4,-7.5,6.5,-3,2.5,-3,1.5,-2.5,1,8.5,4,-1.5,7,5.5
しかと,-32,-13.5,-11.5,10,-24,-9,-3,-20.5,-8,18,6,-8.5,-10,-19,-21,-20
ダヒリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
うぴつ,4,1.5,1.5,3.5,8.5,-8.5,4,3,8.5,4,3,22.5,2.5,-3,5,6.5
激おこスティックファイナリアリティぷんぷんドリーム,8.5,-9,-6.5,-14.5,14.5,-33.5,5,-8,5.5,-8.5,10,9.5,8,33.5,12.5,5
ノンスモ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グロメン,-46.5,-21.5,-45.5,-16,-22,-17,-23.5,-16,-20,-13.5,-20,-12.5,-21,10,-17,-41
ヤフオク,1.5,-0.5,1,2.5,1.5,-0.5,0,0.5,15.5,-1.5,0.5,3,2.5,-0.5,-0.5,2.5
池沼,-14,-27.5,-14,-15,16,-31,-8,-14.5,-10.5,-13.5,-13,-11.5,-12.5,9,-12,-12
パソ禁,-6.5,10.5,-14.5,12.5,-7,-6,-7.5,-9,-11.5,15,-7.5,11,-7.5,15.5,-3,-15
ぬるぽ,10.5,-8,-8,-13.5,16,-18,11.5,-17.5,11.5,-14,12.5,10,10.5,6,7.5,-5
荒らし,-37.5,-26.5,-11,-13,-9,-14,-11,-12,-19.5,-15,-14.5,-12.5,-16.5,17.5,7,-37
ファミチキ,14.5,-8,8.5,8,11.5,-28,16.5,-9.5,-11,-2.5,7,9.5,11.5,3.5,19.5,9.5
チャラい,-28,-22.5,-16,-18,14.5,-8.5,-7,-10,16,-8,-17.5,-11,9.5,8.5,9,-27
ツンデレ,14.5,-1,10,-7.5,15,-35.5,13,-6,16,-17,8.5,15,5.5,11.5,16.5,11
リア充,2.5,0,15.5,1,18,-16.5,10.5,2.5,15,-6.5,-6,3,1.5,-1.5,3.5,0
教中,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メガマックス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コケた,-4.5,-4.5,-2.5,1,-6,-1.5,-2.5,-2.5,-3,2.5,-12.5,-3,-27.5,-5,1.5,-1.5
激おこぷんぷん丸,14,-8.5,3,11.5,16.5,-14.5,17.5,-11.5,16,-16.5,13.5,10.5,16,32,13,5
メロキュア,2.5,2.5,2.5,2.5,5,2.5,2.5,2.5,2.5,5,2.5,5,2.5,-2.5,5,2.5
イチャラブ,22,-8,11.5,-9.5,15,-12.5,13.5,-17.5,17,-13.5,14,16.5,20.5,12,16,15.5
プータロー,-25.5,-12,-18.5,-10,13.5,6.5,12,-5,9.5,4,-7.5,-10,-11,7,10,-5.5
マミる,-25,-9,-13.5,-14.5,-14,-21.5,-11.5,-10.5,13.5,-10.5,-14,-13.5,-7,-21,4.5,8.5
ロリ,10,-9,11,-9.5,12.5,-25.5,14,-15.5,13.5,-17.5,13.5,12,14.5,6.5,11.5,2
ヤバイ,-5,-7.5,-2.5,2.5,-2.5,-2.5,-7.5,-2.5,-2.5,-2.5,-2.5,-2.5,-5,2.5,17.5,-2.5
くぎゅ,11.5,-12,19,-11.5,17.5,-19.5,17,-7.5,16,-17,-7,7.5,-11,-12,9.5,6.5
2ch脳,-12,-6,-10,-5.5,-20,-11.5,-11.5,-11.5,-8.5,-6.5,-11,-6.5,7,-5.5,5,-9.5
wktk,8,2.5,3,7,4.5,-6,3.5,3,8.5,-3,3,40,3.5,-2,39.5,4.5
コピペ,-2.5,-11.5,-5,2.5,-2,-2,-2.5,-39,-8.5,2.5,-2.5,-2.5,-2,5,-6,-5
キャバ,-13,-10,-11,-16.5,-10,-14.5,-14.5,-8,-16.5,-18.5,-14.5,10,-10,6.5,11.5,-11
